resource,licence_g,linked_g
1635268063-587671,"['{}', ""{'Library of Congress': {'name': 'Public Domain', 'url': None}, 'Facebook': {'name': 'Facebook Terms of Service', 'url': 'https://www.facebook.com/legal/terms'}, 'Twitter': {'name': 'Twitter Terms of Service', 'url': 'https://twitter.com/en/tos'}, 'copy-link': {'name': 'Library of Congress Terms of Service', 'url': 'https://www.loc.gov/about/legal'}}""]","The selected licences from the list that match the given licence description are:

- [Cc010Universal] CC0 1.0 Universal (CC0 1.0) Public Domain Dedication (Creative Commons)
- [GnuFreeDocumentationLicense] GNU Free Documentation License version 1.3 (Free Software Foundation)
- [None] The Library of Congress license (Public Domain)

Please note that the Facebook and Twitter terms of service are not included in the list of licences provided."
1635268063-58483,"[""['ÅëëÜäá', 'ÐåñéöÝñåéá', 'Çðåßñïõ', 'Éïíßùí', 'ÅëëÜäáò', 'ÓôåñåÜò', 'ÁôôéêÞò', 'ÐåëïðïííÞóïõ', 'Âïñåßïõ Áéãáßïõ', 'Íïôßïõ Áéãáßïõ', 'ÊñÞôçò', 'Ôïìåßò', 'Ìåôáðïßçóç', 'Êïéíùíßá ôçò Ðëçñïöïñßáò - Ôçëåðéêïéíùíßåò', '¸ñåõíá-Ôå÷íïëïãßá', 'ÁãñïôéêÞ ÁíÜðôõîç êáé Áëéåßá', 'ÐåñéâÜëëïí', 'Ôïõñéóìüò', 'Ðïëéôéóìüò', 'ÅíÝñãåéá', 'Åìðüñéï', 'Õðçñåóßåò (ÊïéíùíéêÝò, Åðé÷åéñÞóåéò ðáñï÷Þò õðçñåóéþí)', 'Õãåßá', 'ÌåôáöïñÝò', 'Ðáéäåßá', 'ÔÁÌÅÉÏ ÓÕÍÏ×ÇÓ', '×.Ì.Ð.Á. (×ñçìáôïäïôéêü ÌÝóï Ðñïóáíáôïëéóìïý ôçò Áëéåßáò)', 'Å.Ô.Ð.Á. (Åõñùðáéêü Ôáìåßï ÐåñéöåñåéáêÞò ÁíÜðôõîçò)', 'Å.Ê.Ô. (Åõñùðáéêü Êïéíùíéêü Ôáìåßï)', 'Å.Ã.Ô.Ð.Å.-Ð (Åõñùðáéêü Ãåùñãéêü Ôáìåßï Ðñïóáíáôïëéóìïý êáé ÅããõÞóåùí -ÔìÞìá Ðñïóáíáôïëéóìïý)']""]",NONE
1635268063-602209,"[""{'ELVIS Database Source': 'https://github.com/ELVIS-Project/elvis-database/releases'}""]",NONE
1639161154-5540648,"['', 'No licences mentioned in the text.']",NONE
1635268063-6019,"[""[{'name': 'open source'}]"", ""{'AcoustID': 'unknown', 'Open source audio identification': 'unknown'}""]",NONE
1635268063-599812,"[""{'Terms of Use': 'www.gutenberg.org', 'Small Print License': 'www.gutenberg.org/policy/license.html'}"", ""{'Project Gutenberg License': {'website': '/policy/license.html'}, 'Permission How-To': {'website': '/policy/permission.html'}, 'Gutenberg index file': {'website': '//www.gutenberg.org/dirs/GUTINDEX.ALL'}, 'Offline Catalogs and Feeds': {'website': '/ebooks/offline_catalogs.html'}, 'Privacy policy': {'website': '/policy/privacy_policy.html'}, 'Contact Information': {'website': '/about/contact_information.html'}, 'Terms of Use': {'website': '/policy/terms_of_use.html'}, 'Get Help': {'website': '/help/'}, 'List of PG mirrors': {'website': '//www.gutenberg.org/MIRRORS.ALL'}, 'roboting guidelines': {'website': '/policy/robot_access.html'}, 'calibre/1.1.0 (+http://www.calibre.org)': {'website': 'http://www.calibre.org'}}""]","The selected licences from the list are:
- Small Print License: [GutenbergIndexFile] Gutenberg index file (Project Gutenberg) //www.gutenberg.org/dirs/GUTINDEX.ALL
- Project Gutenberg License: [GutenbergIndexFile] Gutenberg index file (Project Gutenberg) //www.gutenberg.org/dirs/GUTINDEX.ALL
- Terms of Use: [GutenbergIndexFile] Gutenberg index file (Project Gutenberg) //www.gutenberg.org/dirs/GUTINDEX.ALL
- Terms of Use: [GutenbergIndexFile] Gutenberg index file (Project Gutenberg) //www.gutenberg.org/dirs/GUTINDEX.ALL

Please note that the licence for 'www.gutenberg.org' is not specified in the given information."
1635268063-599226,[],[]
1635268063-595624,"[""['MIT']""]",The description 'MIT' corresponds to the [ExpatLicense] MIT License (MIT) https://opensource.org/licenses/MIT
1635268063-590961,"[""{'Creative Commons Gemeinfrei 1.0': True}""]",CC0 1.0 Universal (CC0 1.0) Public Domain Dedication
1635268063-588564,"[""{'Duke University Privacy Statement': ['https://oarc.duke.edu/privacy/duke-university-privacy-statement/'], 'Stanford Libraries statement on patron privacy and database access': ['https://library.stanford.edu/using/special-policies/statement-patron-privacy-and-database-access'], 'Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License': ['https://creativecommons.org/licenses/by-nc-sa/3.0/deed.en_US']}""]",NONE
1635268063-58566,"[""['Creative Commons']""]","[CC0-1.0, CC-BY_v4, CC-BY-NC_v4, CC-BY-SA_v4, CC-BY-NC-ND_v4, CC-BY-ND_v4, CC-BY-NC-SA_v4]"
1635268063-587599,"[""[{'licence': 'Library of Congress'}, {'licence': 'ReadSpeaker'}, {'licence': 'Facebook'}, {'licence': 'Twitter'}, {'licence': 'Bachtrack'}, {'licence': 'WETA Classical Conversations'}, {'licence': 'National Public Radio'}]""]","The licences corresponding to the descriptions are:

- Library of Congress: [CC0 1.0 Universal]
- ReadSpeaker: [CC-BY-ND_v4]
- Facebook: [CC-BY_v4]
- Twitter: [CC-BY_v4]
- Bachtrack: [CC-BY_NC-ND_v4]
- WETA Classical Conversations: [CC-BY_NC-ND_v4]
- National Public Radio: [CC-BY_v4]"
1663770578-6968083,"['{}', ""['']"", '']",NONE
1635268063-589083,"[""{'The Ruth Orkin Archives': 'All rights reserved', 'Mrs. Victor Kraft': 'All rights reserved', 'Claudia Fine': 'Used by permission', 'Emily Fine': 'Used by permission', 'Joanna Fine': 'Used by permission', 'The Estate of Verna and Irving Fine and daughters': 'Used by permission', 'The Ruth Orkin Archives, 65 Central Park West, New York, NY 10023': 'Used by permission', 'Mrs. Victor Kraft, 90 Edgewood Avenue, Cranston, RI, 02905-1344': 'Used by permission', 'Kay Khan, 18 St. Mary Street, Newton Lower Falls, MA 02462': 'Used by permission', 'Colbert Artists Management, 111 West 57th Street, New York, NY 10019': 'Used by permission'}"", ""{'Library of Congress': {'url': '/'}, 'National Library Service for the Blind and Print Disabled': {'url': 'https://www.loc.gov/nls'}, 'BARD Mobile App': {'url': 'https://itunes.apple.com/us/app/bard-mobile/id705229586?mt=8'}, 'Congress.gov': {'url': 'https://www.congress.gov/'}, 'United States Copyright Office': {'url': 'https://copyright.gov'}}"", ""[{'name': 'Public Domain'}]""]",NONE
1635268063-601828,"[""[{'name': 'Creative Commons Attribution License', 'url': 'http://creativecommons.org/licenses/by/1.0/'}]""]",CC-BY_v4
1635268063-597556,"[""{'MakeMusic': [{'name': 'MakeMusic Cloud Terms of Service', 'url': 'https://www.makemusic.com/terms-service'}, {'name': 'Data Privacy Policy', 'url': 'https://www.makemusic.com/makemusic-cloud-privacy'}, {'name': 'Website Terms of Use', 'url': 'https://wpmedia.makemusic.com/wp-content/uploads/2022/11/MM-Website-TOS.pdf'}, {'name': 'Privacy Statement', 'url': 'https://www.makemusic.com/privacy'}, {'name': 'Promotion Code Terms & Conditions', 'url': 'https://wpmedia.makemusic.com/wp-content/uploads/2020/03/Promo-Codes-TC.pdf'}, {'name': 'Minimum Advertised Price Policy', 'url': 'https://wpmedia.makemusic.com/wp-content/uploads/2017/01/MMMAPFeb2017-1.pdf'}, {'name': 'End-User License Agreements', 'url': 'PDF links are provided within the HTML code'}]}""]","The selected licences from the given description are:

- MakeMusic Cloud Terms of Service: NONE
- Data Privacy Policy: NONE
- Website Terms of Use: NONE
- Privacy Statement: NONE
- Promotion Code Terms & Conditions: NONE
- Minimum Advertised Price Policy: NONE
- End-User License Agreements: NONE"
1635268063-597411,"[""{'CC BY-NC 4.0': 'Creativ Commons Licence (meta data without images)'}""]",[CC-BY-NC_v4]
1635268063-587074,"['', 'Digital Millennium Copyright Act (DMCA)', ""['Duke University Privacy Statement', 'Stanford Libraries statement on patron privacy and database access']""]",NONE
